tn,fn,fp,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
874,5,9,832,Fold10,0.9918604651162791,0.994026284348865,0.9898074745186863,0.9919168794337756,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,1087,3
868,11,5,836,Fold01,0.9906976744186047,0.987012987012987,0.9942726231386025,0.9906428050757947,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
871,8,10,831,Fold02,0.9895348837209302,0.9904648390941597,0.9886492622020431,0.9895570506481014,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
874,5,6,835,Fold03,0.9936046511627907,0.9940476190476191,0.9931818181818182,0.9936147186147186,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
871,8,6,835,Fold04,0.9918604651162791,0.9905100830367735,0.9931584948688712,0.9918342889528223,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
863,16,10,831,Fold05,0.9848837209302326,0.9811097992916175,0.9885452462772051,0.9848275227844112,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
873,6,7,835,Fold06,0.9924462521789658,0.9928656361474435,0.9920454545454546,0.992455545346449,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
872,8,6,835,Fold07,0.9918651946542708,0.9905100830367735,0.9931662870159453,0.9918381850263593,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
873,6,7,834,Fold08,0.9924418604651163,0.9928571428571429,0.9920454545454546,0.9924512987012988,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
871,8,5,837,Fold09,0.9924462521789658,0.9905325443786982,0.9942922374429224,0.9924123909108102,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
870,10,4,837,Fold10,0.9918651946542708,0.9881936245572609,0.9954233409610984,0.9918084827591797,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,2293,3
868,11,8,834,Fold01,0.9889599070307961,0.98698224852071,0.9908675799086758,0.988924914214693,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,3581,3
872,7,9,832,Fold02,0.9906976744186047,0.9916567342073898,0.9897843359818388,0.9907205350946142,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,3581,3
869,10,11,830,Fold03,0.9877906976744186,0.9880952380952381,0.9875,0.9877976190476191,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,3581,3
877,3,9,833,Fold04,0.9930313588850174,0.9964114832535885,0.989841986455982,0.9931267348547852,eclipse,svm,smote,cv10,Accuracy,200,long_description,sigma,0.03125,C,32,3581,3
